intersection,road,intersection_key,road_key
เกษมราษฎร์,เกษมราษฎร์,เกษมราษฎร์,เกษมราษฎร์
เกษมราษฎร์,ซอยอารีย์,เกษมราษฎร์,ซอยอารีย์
เกษมราษฎร์,พระรามที่4,เกษมราษฎร์,พระรามที่4
หัวลำโพง,มหาพฤฒาราม,หัวลำโพง,มหาพฤฒาราม
หัวลำโพง,พระรามที่4,หัวลำโพง,พระรามที่4
อุณากรรณ,อุณากรรณ,อุณากรรณ,อุณากรรณ
อุณากรรณ,เจริญกรุง,อุณากรรณ,เจริญกรุง
โพธิสามต้น,อิสรภาพ,โพธิสามต้น,อิสรภาพ
โพธิสามต้น,วังเดิม,โพธิสามต้น,วังเดิม
บุคคโล,เจริญนคร,บุคคโล,เจริญนคร
บุคคโล,มไหสวรรย์,บุคคโล,มไหสวรรย์
นวมินทร์-แฮปปีแลนด์,นวมินทร์,นวมินทร์-แฮปปีแลนด์,นวมินทร์
นวมินทร์-แฮปปีแลนด์,แฮปปี้แลนด์,นวมินทร์-แฮปปีแลนด์,แฮปปี้แลนด์
กษัตริย์ศึก,กรุงเกษม,กษัตริย์ศึก,กรุงเกษม
กษัตริย์ศึก,บำรุงเมือง,กษัตริย์ศึก,บำรุงเมือง
ทางช้ามปากซอยตากสิน17-18,สมเด็จพระเจ้าตากสิน,ทางช้ามปากซอยตากสิน17-18,สมเด็จพระเจ้าตากสิน
สุทธิสาร,รัชดาภิเษก,สุทธิสาร,รัชดาภิเษก
สุทธิสาร,สุทธิสารวินิจฉัย,สุทธิสาร,สุทธิสารวินิจฉัย
รัชดาภิเษก-ลาดพร้าว,รัชดาภิเษก,รัชดาภิเษก-ลาดพร้าว,รัชดาภิเษก
รัชดาภิเษก-ลาดพร้าว,ลาดพร้าว,รัชดาภิเษก-ลาดพร้าว,ลาดพร้าว
ประชานิเวศน์,ประชาชื่น,ประชานิเวศน์,ประชาชื่น
ประชานิเวศน์,เทศบาลสงเคราะห์,ประชานิเวศน์,เทศบาลสงเคราะห์
สวรรคโลก,สวรรคโลก,สวรรคโลก,สวรรคโลก
สวรรคโลก,สุโขทัย,สวรรคโลก,สุโขทัย
สุคันธาราม,พระรามที่5,สุคันธาราม,พระรามที่5
สุคันธาราม,สุคันธาราม,สุคันธาราม,สุคันธาราม
ถนนตก,เจริญกรุง,ถนนตก,เจริญกรุง
ถนนตก,พระรามที่3,ถนนตก,พระรามที่3
ทางข้ามหน้าชุมชนน้องใหม่,อาจณรงค์,ทางข้ามหน้าชุมชนน้องใหม่,อาจณรงค์
มหาวิทยาลัยกรุงเทพ,ซอยมหาวิทยาลัยกรุงเทพ,มหาวิทยาลัยกรุงเทพ,ซอยมหาวิทยาลัยกรุงเทพ
มหาวิทยาลัยกรุงเทพ,พระรามที่4,มหาวิทยาลัยกรุงเทพ,พระรามที่4
มหาวิทยาลัยกรุงเทพ,ซอยบ้านกล้วยใต้(สุขุมวิท42),มหาวิทยาลัยกรุงเทพ,ซอยบ้านกล้วยใต้(สุขุมวิท42)
ทางข้ามหน้าเมเจอร์อเวนิวและธนาคารไทยพาณิชย์,สุโขทัย,ทางข้ามหน้าเมเจอร์อเวนิวและธนาคารไทยพาณิชย์,สุโขทัย
ทางข้ามปากซอยอ่อนนุช65,อ่อนนุช,ทางข้ามปากซอยอ่อนนุช65,อ่อนนุช
ประเวศ,เฉลิมพระเกียรติ,ประเวศ,เฉลิมพระเกียรติ
ประเวศ,อ่อนนุช,ประเวศ,อ่อนนุช
บางขุนพรหม,สามเสน,บางขุนพรหม,สามเสน
บางขุนพรหม,วิสุทธิกษัตริย์,บางขุนพรหม,วิสุทธิกษัตริย์
สวนรื่นฤดี,ราชสีมา,สวนรื่นฤดี,ราชสีมา
สวนรื่นฤดี,สุโขทัย,สวนรื่นฤดี,สุโขทัย
ก.ม.8,นวมินทร์,ก.ม.8,นวมินทร์
ก.ม.8,ซอยรามอินทรา73,ก.ม.8,ซอยรามอินทรา73
ก.ม.8,รามอินทรา,ก.ม.8,รามอินทรา
พัฒนาการ,ศรีนครินทร์,พัฒนาการ,ศรีนครินทร์
พัฒนาการ,พัฒนาการ,พัฒนาการ,พัฒนาการ
วัดประชา,พระรามที่5,วัดประชา,พระรามที่5
วัดประชา,วัดประชาระบือธรรม,วัดประชา,วัดประชาระบือธรรม
วัดประชา,ซอยระนอง1,วัดประชา,ซอยระนอง1
คลองตัน,สุขุมวิท71,คลองตัน,สุขุมวิท71
คลองตัน,รามคำแหง,คลองตัน,รามคำแหง
คลองตัน,เพชรบุรี,คลองตัน,เพชรบุรี
คลองตัน,พัฒนาการ,คลองตัน,พัฒนาการ
ไต้ด่วนดินแดง,เลียบใต้ทางด่วน,ไต้ด่วนดินแดง,เลียบใต้ทางด่วน
ไต้ด่วนดินแดง,วิภาวดีรังสิต,ไต้ด่วนดินแดง,วิภาวดีรังสิต
ไต้ด่วนดินแดง,อโศกดินแดง,ไต้ด่วนดินแดง,อโศกดินแดง
ทางข้ามหน้าเซนทรัลเฟสติวัลอีวิลล์,ประดิษฐ์มนูธรรม,ทางข้ามหน้าเซนทรัลเฟสติวัลอีวิลล์,ประดิษฐ์มนูธรรม
ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม
ประดิษฐ์มนูธรรม,สังคมสงเคราะห์,ประดิษฐ์มนูธรรม,สังคมสงเคราะห์
ราชดำริ,ราชดำริ,ราชดำริ,ราชดำริ
ราชดำริ,สารสิน,ราชดำริ,สารสิน
กรมศุลกากร,เกษมราษฎร์,กรมศุลกากร,เกษมราษฎร์
กรมศุลกากร,สุนทรโกษา,กรมศุลกากร,สุนทรโกษา
กรมศุลกากร,อาจณรงค์,กรมศุลกากร,อาจณรงค์
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,ดาวคะนอง,สมเด็จพระเจ้าตากสิน
ดาวคะนอง,จอมทอง,ดาวคะนอง,จอมทอง
ปากซอยสมเด็จพระเจ้าตากสิน15,สมเด็จพระเจ้าตากสิน,ปากซอยสมเด็จพระเจ้าตากสิน15,สมเด็จพระเจ้าตากสิน
เพชรบุรี-ชิดลม,เพชรบุรี,เพชรบุรี-ชิดลม,เพชรบุรี
ทางข้ามบริเวณหน้าตึกอรกานต์,ชิดลม,ทางข้ามบริเวณหน้าตึกอรกานต์,ชิดลม
ปากซอยวัดเพลง,พรานนก-พุทธมณฑลสาย4,ปากซอยวัดเพลง,พรานนก-พุทธมณฑลสาย4
ทางข้ามปากซอยวัดเทพพล,พรานนก-พุทธมณฑลสาย4,ทางข้ามปากซอยวัดเทพพล,พรานนก-พุทธมณฑลสาย4
ปากซอยวัดปากน้า-วัดแก้ว,พรานนก-พุทธมณฑลสาย4,ปากซอยวัดปากน้า-วัดแก้ว,พรานนก-พุทธมณฑลสาย4
ทางขึ้นทางด่วนจตุรโชติ,เลียบทางด่วน,ทางขึ้นทางด่วนจตุรโชติ,เลียบทางด่วน
ทางขึ้นทางด่วนจตุรโชติ,เลียบด่วนอาจณรงค์รามอินทรา,ทางขึ้นทางด่วนจตุรโชติ,เลียบด่วนอาจณรงค์รามอินทรา
ทางลงทางด่วนจตุรโชติ,เลียบด่วน,ทางลงทางด่วนจตุรโชติ,เลียบด่วน
ทางลงทางด่วนจตุรโชติ,ทางลงทางด่วน,ทางลงทางด่วนจตุรโชติ,ทางลงทางด่วน
นราธิวาส-สุรวงศ์,นราธิวาส,นราธิวาส-สุรวงศ์,นราธิวาส
นราธิวาส-สุรวงศ์,สุรวงศ์,นราธิวาส-สุรวงศ์,สุรวงศ์
เจริญราษฎร์,เจริญราษฎร์,เจริญราษฎร์,เจริญราษฎร์
เจริญราษฎร์,พระรามที่3,เจริญราษฎร์,พระรามที่3
คลองสาน,เจริญนคร,คลองสาน,เจริญนคร
คลองสาน,สมเด็จเจ้าพระยา,คลองสาน,สมเด็จเจ้าพระยา
คลองสาน,ลาดหญ้า,คลองสาน,ลาดหญ้า
สีลม-นราธิวาส,นราธิวาสราชนครินทร์,สีลม-นราธิวาส,นราธิวาสราชนครินทร์
สีลม-นราธิวาส,สีลม,สีลม-นราธิวาส,สีลม
อำนวยสงคราม-ร่วมจิตต์,ร่วมจิตต์,อำนวยสงคราม-ร่วมจิตต์,ร่วมจิตต์
อำนวยสงคราม-ร่วมจิตต์,อำนวยสงคราม,อำนวยสงคราม-ร่วมจิตต์,อำนวยสงคราม
ทางข้ามหน้าโรงเรียนประชาบำรุง,เลียบคลองภาษีเจริญฝั่งเหนือ,ทางข้ามหน้าโรงเรียนประชาบำรุง,เลียบคลองภาษีเจริญฝั่งเหนือ
หน้าศูนย์สาธารณสุข48,เลียบคลองภาษีเจริญฝั่งเหนือ,หน้าศูนย์สาธารณสุข48,เลียบคลองภาษีเจริญฝั่งเหนือ
อินทาบัจ13-เพชรเกษม63,ซอยเพชรเกษม63,อินทาบัจ13-เพชรเกษม63,ซอยเพชรเกษม63
อินทาบัจ13-เพชรเกษม63,ซอยอินทาปัจ13,อินทาบัจ13-เพชรเกษม63,ซอยอินทาปัจ13
ข้ามหน้าโรงเรียนมัธยมวัดบึงทองห,ลาดพร้าว101,ข้ามหน้าโรงเรียนมัธยมวัดบึงทองห,ลาดพร้าว101
ลาดพร้าว101,ซอยลาดพร้าว128/1,ลาดพร้าว101,ซอยลาดพร้าว128/1
ลาดพร้าว101,ซอยลาดพร้าว101,ลาดพร้าว101,ซอยลาดพร้าว101
ลาดพร้าว101,ลาดพร้าว,ลาดพร้าว101,ลาดพร้าว
ทางข้ามหน้าโรงเรียนวังเด็ก,สุขุมวิท77,ทางข้ามหน้าโรงเรียนวังเด็ก,สุขุมวิท77
โรงพยาบาลสิรินธร,สุขาภิบาล2,โรงพยาบาลสิรินธร,สุขาภิบาล2
โรงพยาบาลสิรินธร,อ่อนนุช,โรงพยาบาลสิรินธร,อ่อนนุช
สุโขทัย,พระรามที่5,สุโขทัย,พระรามที่5
สุโขทัย,สุโขทัย,สุโขทัย,สุโขทัย
เทียมร่วมมิตร,รัชดาภิเษก,เทียมร่วมมิตร,รัชดาภิเษก
เทียมร่วมมิตร,เทียมร่วมมิตร,เทียมร่วมมิตร,เทียมร่วมมิตร
นวลจันทร์,ซอยรามอินทรา40,นวลจันทร์,ซอยรามอินทรา40
นวลจันทร์,รามอินทรา,นวลจันทร์,รามอินทรา
เฉลิมพระเกียรติร.9ซอย65,เฉลิมพระเกียรติร.9,เฉลิมพระเกียรติร.9ซอย65,เฉลิมพระเกียรติร.9
พัฒนาการ-ซอยพัฒนาการ53,ซอยพัฒนาการ53,พัฒนาการ-ซอยพัฒนาการ53,ซอยพัฒนาการ53
พัฒนาการ-ซอยพัฒนาการ53,พัฒนาการ,พัฒนาการ-ซอยพัฒนาการ53,พัฒนาการ
บางยี่เรือ,เทอดไท,บางยี่เรือ,เทอดไท
บางยี่เรือ,เพชรเกษม,บางยี่เรือ,เพชรเกษม
บางยี่เรือ,อินทรพิทักษ์,บางยี่เรือ,อินทรพิทักษ์
สามเหลี่ยมดินแดง,ราชปรารภ,สามเหลี่ยมดินแดง,ราชปรารภ
สามเหลี่ยมดินแดง,ซอยอรรถวิมล,สามเหลี่ยมดินแดง,ซอยอรรถวิมล
สามเหลี่ยมดินแดง,ราชวิถี,สามเหลี่ยมดินแดง,ราชวิถี
สามเหลี่ยมดินแดง,ดินแดง,สามเหลี่ยมดินแดง,ดินแดง
ทางข้ามหน้าธนาคารกรุงศรีฯสาขาจอมทอง,เอกชัย,ทางข้ามหน้าธนาคารกรุงศรีฯสาขาจอมทอง,เอกชัย
โรงพยาบาลกลาง,เสือป่า,โรงพยาบาลกลาง,เสือป่า
โรงพยาบาลกลาง,ยุคล2,โรงพยาบาลกลาง,ยุคล2
โรงพยาบาลกลาง,หลวง,โรงพยาบาลกลาง,หลวง
ทางข้ามบริเวณซอยอุดมสุข37,อุดมสุข,ทางข้ามบริเวณซอยอุดมสุข37,อุดมสุข
ทางข้ามหน้าสถานีโทรทัศน์กองทัพบกช่อง5,พหลโยธิน,ทางข้ามหน้าสถานีโทรทัศน์กองทัพบกช่อง5,พหลโยธิน
วิสุทธิกษัตริย์,ประชาธิปไตย,วิสุทธิกษัตริย์,ประชาธิปไตย
วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์
สาธุประดิษฐ์,สาธุประดิษฐ์,สาธุประดิษฐ์,สาธุประดิษฐ์
สาธุประดิษฐ์,พระรามที่3,สาธุประดิษฐ์,พระรามที่3
ศิครินทร์,ศิครินทร์,ศิครินทร์,ศิครินทร์
ศิครินทร์,สุขุมวิท105,ศิครินทร์,สุขุมวิท105
เจริญนครเหนือ,เจริญนครเหนือ,เจริญนครเหนือ,เจริญนครเหนือ
เจริญนครเหนือ,กรุงธนบุรี,เจริญนครเหนือ,กรุงธนบุรี
แม้นศรี,วรจักร,แม้นศรี,วรจักร
แม้นศรี,จักรพรรดิพงษ์,แม้นศรี,จักรพรรดิพงษ์
แม้นศรี,บำรุงเมือง,แม้นศรี,บำรุงเมือง
พุทธมณฑลสาย2,ซอยเพชรเกษม55,พุทธมณฑลสาย2,ซอยเพชรเกษม55
พุทธมณฑลสาย2,พุทธมณฑลสาย2,พุทธมณฑลสาย2,พุทธมณฑลสาย2
พุทธมณฑลสาย2,เพชรเกษม,พุทธมณฑลสาย2,เพชรเกษม
รัชดา-ราชพฤกษ์,รัชดาภิเษก,รัชดา-ราชพฤกษ์,รัชดาภิเษก
รัชดา-ราชพฤกษ์,ราชพฤกษ์,รัชดา-ราชพฤกษ์,ราชพฤกษ์
ท่าดินแดง,ท่าดินแดง,ท่าดินแดง,ท่าดินแดง
ท่าดินแดง,สมเด็จเจ้าพระยา,ท่าดินแดง,สมเด็จเจ้าพระยา
สุทธิสาร-วิภาวดีรังสิต,วิภาวดีรังสิต,สุทธิสาร-วิภาวดีรังสิต,วิภาวดีรังสิต
สุทธิสาร-วิภาวดีรังสิต,สุทธิสาร,สุทธิสาร-วิภาวดีรังสิต,สุทธิสาร
ลำสาลี,ศรีนครินทร์,ลำสาลี,ศรีนครินทร์
ลำสาลี,รามคำแหง,ลำสาลี,รามคำแหง
หลักสี่,กำแพงเพชร6,หลักสี่,กำแพงเพชร6
หลักสี่,แจ้งวัฒนะ,หลักสี่,แจ้งวัฒนะ
ประชาเกษม,ประชาธิปไตย,ประชาเกษม,ประชาธิปไตย
ประชาเกษม,นครราชสีมา,ประชาเกษม,นครราชสีมา
ประชาเกษม,กรุงเกษม,ประชาเกษม,กรุงเกษม
ทางข้ามหน้าปากซอยนามบัญญัติ,ประชาธิปไตย,ทางข้ามหน้าปากซอยนามบัญญัติ,ประชาธิปไตย
เกตุนุช,ซอยลาดพร้าว64,เกตุนุช,ซอยลาดพร้าว64
เกตุนุช,ลาดพร้าว,เกตุนุช,ลาดพร้าว
ปทุมวัน,พญาไท,ปทุมวัน,พญาไท
ปทุมวัน,พระรามที่1,ปทุมวัน,พระรามที่1
ประชาราษฎร์สาย1,ประชาราษฎร์สาย1,ประชาราษฎร์สาย1,ประชาราษฎร์สาย1
ประชาราษฎร์สาย1,วงศ์สว่าง,ประชาราษฎร์สาย1,วงศ์สว่าง
บางแวก-เพชรเกษม48(บางแวก69),ซอยเพชรเกษม48(บางแวก69),บางแวก-เพชรเกษม48(บางแวก69),ซอยเพชรเกษม48(บางแวก69)
บางแวก-เพชรเกษม48(บางแวก69),บางแวก,บางแวก-เพชรเกษม48(บางแวก69),บางแวก
สะพานอ่อน,บรรทัดทอง,สะพานอ่อน,บรรทัดทอง
สะพานอ่อน,เจริญเมือง,สะพานอ่อน,เจริญเมือง
บางพลัด,จรัญสนิทวงศ์,บางพลัด,จรัญสนิทวงศ์
บางพลัด,สิรินธร,บางพลัด,สิรินธร
บางพลัด,ราชวิถี,บางพลัด,ราชวิถี
ท่าพระ,รัชดาภิเษก,ท่าพระ,รัชดาภิเษก
ท่าพระ,จรัญสนิทวงศ์,ท่าพระ,จรัญสนิทวงศ์
ท่าพระ,เพชรเกษม,ท่าพระ,เพชรเกษม
ประชาอุทิศ,ประชาอุทิศ,ประชาอุทิศ,ประชาอุทิศ
ประชาอุทิศ,สุขสวัสดิ์,ประชาอุทิศ,สุขสวัสดิ์
วัชดาภิเษก32-รัชดาภิเษก36,ซอยรัชดาภิเษก36,วัชดาภิเษก32-รัชดาภิเษก36,ซอยรัชดาภิเษก36
วัชดาภิเษก32-รัชดาภิเษก36,ซอยรัชดาภิเษก32แยก3แยก19,วัชดาภิเษก32-รัชดาภิเษก36,ซอยรัชดาภิเษก32แยก3แยก19
หมอมี,พระรามที่4,หมอมี,พระรามที่4
หมอมี,เจริญกรุง,หมอมี,เจริญกรุง
หมอมี,มิตรพันธ์,หมอมี,มิตรพันธ์
ทางข้ามหน้าโรงเรียนสายปัญญา,กรุงเกษม,ทางข้ามหน้าโรงเรียนสายปัญญา,กรุงเกษม
ทางข้ามถนนเลียบคลองผดุงกรุงเกษม,เลียบคลองผดุงกรุงเกษม,ทางข้ามถนนเลียบคลองผดุงกรุงเกษม,เลียบคลองผดุงกรุงเกษม
สาธุ-จันทน์,สาธุประดิษฐ์,สาธุ-จันทน์,สาธุประดิษฐ์
สาธุ-จันทน์,จันทน์,สาธุ-จันทน์,จันทน์
หมู่บ้านสหกรณ์,ทางเข้าหมู่บ้านสหกรณ์,หมู่บ้านสหกรณ์,ทางเข้าหมู่บ้านสหกรณ์
หมู่บ้านสหกรณ์,เสรีไทย,หมู่บ้านสหกรณ์,เสรีไทย
เจริญนครใต้,เจริญนคร,เจริญนครใต้,เจริญนคร
เจริญนครใต้,กรุงธนบุรี,เจริญนครใต้,กรุงธนบุรี
สาธุประดิษฐ์-ยานนาวา,สาธุประดิษฐ์,สาธุประดิษฐ์-ยานนาวา,สาธุประดิษฐ์
สาธุประดิษฐ์-ยานนาวา,ยานนาวา,สาธุประดิษฐ์-ยานนาวา,ยานนาวา
ทางข้ามปากซอยอ่อนนุช74/3,อ่อนนุช,ทางข้ามปากซอยอ่อนนุช74/3,อ่อนนุช
สุขาภิบาล2-คู่ขนานวงแหวนกาญจนาภิเษก,สุขาภิบาล2,สุขาภิบาล2-คู่ขนานวงแหวนกาญจนาภิเษก,สุขาภิบาล2
สุขาภิบาล2-คู่ขนานวงแหวนกาญจนาภิเษก,วงแหวนกาญจนาภิเษก,สุขาภิบาล2-คู่ขนานวงแหวนกาญจนาภิเษก,วงแหวนกาญจนาภิเษก
ทางข้ามหน้าโรงเรียนวัดมหรรณพาราม,ตะนาว,ทางข้ามหน้าโรงเรียนวัดมหรรณพาราม,ตะนาว
อนุสาวสรีย์ประชาธิปไตย(ขาเข้า),ดินสอ,อนุสาวสรีย์ประชาธิปไตย(ขาเข้า),ดินสอ
อนุสาวสรีย์ประชาธิปไตย(ขาเข้า),ราชดำเนินกลาง,อนุสาวสรีย์ประชาธิปไตย(ขาเข้า),ราชดำเนินกลาง
อนุสาวสรีย์ประชาธิปไตย(ขาออก),ดินสอ,อนุสาวสรีย์ประชาธิปไตย(ขาออก),ดินสอ
อนุสาวสรีย์ประชาธิปไตย(ขาออก),ราชดำเนินกลาง,อนุสาวสรีย์ประชาธิปไตย(ขาออก),ราชดำเนินกลาง
เฉลิมเผ่า,อังรีดูนังต์,เฉลิมเผ่า,อังรีดูนังต์
เฉลิมเผ่า,พระรามที่1,เฉลิมเผ่า,พระรามที่1
ชิดลม,ซอยชิดลม,ชิดลม,ซอยชิดลม
ชิดลม,เพลินจิต,ชิดลม,เพลินจิต
ประตูน้ำ,ราชดำริ,ประตูน้ำ,ราชดำริ
ประตูน้ำ,ราชปรารภ,ประตูน้ำ,ราชปรารภ
ประตูน้ำ,เพชรบุรี,ประตูน้ำ,เพชรบุรี
มัยลาภ,ซอยรามอยินทรา14(ซอยมัยลาภ),มัยลาภ,ซอยรามอยินทรา14(ซอยมัยลาภ)
มัยลาภ,รามอินทรา,มัยลาภ,รามอินทรา
ตากสิน,สมเด็จพระเจ้าตากสิน,ตากสิน,สมเด็จพระเจ้าตากสิน
ตากสิน,ราชพฤกษ์,ตากสิน,ราชพฤกษ์
ตากสิน,กรุงธนบุรี,ตากสิน,กรุงธนบุรี
โพธิ์แก้ว,นวมินทร์,โพธิ์แก้ว,นวมินทร์
โพธิ์แก้ว,โพธิ์แก้ว,โพธิ์แก้ว,โพธิ์แก้ว
โพธิ์แก้ว,ทางเข้าวัดบางเตย,โพธิ์แก้ว,ทางเข้าวัดบางเตย
ปากซอยลาดกระบัง1,ซอยลาดกระบัง1,ปากซอยลาดกระบัง1,ซอยลาดกระบัง1
ปากซอยลาดกระบัง1,ลาดกระบัง,ปากซอยลาดกระบัง1,ลาดกระบัง
จุดกลับรถหน้าโชว์รูมฟอรด์ใกล้ชอยลาดกระบัง1/5,ลาดกระบัง,จุดกลับรถหน้าโชว์รูมฟอรด์ใกล้ชอยลาดกระบัง1/5,ลาดกระบัง
มิตรไมตรี-มิตรไมตรี2,มิตรไมตรี,มิตรไมตรี-มิตรไมตรี2,มิตรไมตรี
มิตรไมตรี-มิตรไมตรี2,มิตรไมตรี2,มิตรไมตรี-มิตรไมตรี2,มิตรไมตรี2
วงเวียนใหญ่(ขาเข้า),สมเด็จพระเจ้าตากสิน,วงเวียนใหญ่(ขาเข้า),สมเด็จพระเจ้าตากสิน
วงเวียนใหญ่(ขาเข้า),ประชาธิปก,วงเวียนใหญ่(ขาเข้า),ประชาธิปก
วงเวียนใหญ่(ขาเข้า),อินทรพิทักษ์,วงเวียนใหญ่(ขาเข้า),อินทรพิทักษ์
วงเวียนใหญ่(ขาเข้า),ลาดหญ้า,วงเวียนใหญ่(ขาเข้า),ลาดหญ้า
วงเวียนใหญ่(ขาออก),สมเด็จพระเจ้าตากสิน,วงเวียนใหญ่(ขาออก),สมเด็จพระเจ้าตากสิน
วงเวียนใหญ่(ขาออก),ประชาธิปก,วงเวียนใหญ่(ขาออก),ประชาธิปก
วงเวียนใหญ่(ขาออก),อินทรพิทักษ์,วงเวียนใหญ่(ขาออก),อินทรพิทักษ์
วงเวียนใหญ่(ขาออก),ลาดหญ้า,วงเวียนใหญ่(ขาออก),ลาดหญ้า
มไหสวรรย์,สมเด็จพระเจ้าตากสิน,มไหสวรรย์,สมเด็จพระเจ้าตากสิน
มไหสวรรย์,รัชดาภิเษก,มไหสวรรย์,รัชดาภิเษก
มไหสวรรย์,มไหสวรรย์,มไหสวรรย์,มไหสวรรย์
หทัยราษฎร์-ซอยไทยรามัญ,หทัยราษฎร์,หทัยราษฎร์-ซอยไทยรามัญ,หทัยราษฎร์
หทัยราษฎร์-เลียบคลองสอง,หทัยราษฎร์,หทัยราษฎร์-เลียบคลองสอง,หทัยราษฎร์
หทัยราษฎร์-เลียบคลองสอง,เลียบคลองสอง,หทัยราษฎร์-เลียบคลองสอง,เลียบคลองสอง
เพชรเกษม-เพชรเกษม4,เพชรเกษม,เพชรเกษม-เพชรเกษม4,เพชรเกษม
พาณิชยการธนบุรี,จรัญสนิทวงศ์,พาณิชยการธนบุรี,จรัญสนิทวงศ์
พาณิชยการธนบุรี,ซอยจรัญสนิทวงศ์13,พาณิชยการธนบุรี,ซอยจรัญสนิทวงศ์13
คนข้ามบริเวณหมู่บ้านมณฑล3,พุทธมณฑลสาย3,คนข้ามบริเวณหมู่บ้านมณฑล3,พุทธมณฑลสาย3
พุทธมณฑลสาย3,พุทธมณฑลสาย3,พุทธมณฑลสาย3,พุทธมณฑลสาย3
พุทธมณฑลสาย3,เพชรเกษม,พุทธมณฑลสาย3,เพชรเกษม
ทางข้ามหน้าโรงเรียนโยธินบูรณะ,ประชาราษฎร์สาย1,ทางข้ามหน้าโรงเรียนโยธินบูรณะ,ประชาราษฎร์สาย1
ทางข้ามหน้าโรงเรียนโยธินบูรณะ,ประชาราษฎร์สาย2,ทางข้ามหน้าโรงเรียนโยธินบูรณะ,ประชาราษฎร์สาย2
ทางข้ามหน้าโรงเรียนโยธินบูรณะ,ประชาราษฎร์สาย3,ทางข้ามหน้าโรงเรียนโยธินบูรณะ,ประชาราษฎร์สาย3
เตาปูน,ประชาราษฎร์,เตาปูน,ประชาราษฎร์
เตาปูน,ประชาราษฎร์สาย2,เตาปูน,ประชาราษฎร์สาย2
ทางข้ามหน้าปากซอยเฉลิมพระเกียรติ43,เฉลิมพระเกียรติร.9,ทางข้ามหน้าปากซอยเฉลิมพระเกียรติ43,เฉลิมพระเกียรติร.9
พัฒนาการ-เฉลิมพระเกียรติร.9,เฉลิมพระเกียรติร.9,พัฒนาการ-เฉลิมพระเกียรติร.9,เฉลิมพระเกียรติร.9
พัฒนาการ-เฉลิมพระเกียรติร.9,ทางเข้าหมู่บ้าน,พัฒนาการ-เฉลิมพระเกียรติร.9,ทางเข้าหมู่บ้าน
พัฒนาการ-เฉลิมพระเกียรติร.9,พัฒนาการ,พัฒนาการ-เฉลิมพระเกียรติร.9,พัฒนาการ
