intersection_key,road_key,ก่อนโควิด,โควิด,หลังโควิด
บางยี่เรือ,เพชรเกษม,6,3,9
บางรัก,สีลม,3,6,9
บางรัก,เจริญกรุง,3,6,9
บางลำพู,สามเสน,3,3,9
บางแค,บางแค,3,3,9
บางแค,เพชรเกษม,3,3,9
บางโพ,ประชาราษฎร์สาย 1,3,6,6
บางโพ,ประชาราษฎร์สาย 2,3,6,6
บุคคโล,มไหสวรรย์,6,3,9
บุคคโล,เจริญนคร,6,3,9
บ้านแขก,ประชาธิปก,3,6,9
บ้านแขก,อิสรภาพ,3,6,9
ปทุมวัน,พญาไท,6,3,9
ปทุมวัน,พระรามที่ 1,4,3,9
ประชาชื่น,ประชาชื่น,3,6,3
ประชาชื่น,ประชาราษฎร์สาย 2,3,3,3
ประชาธรรม,ประชาอุทิศ,6,3,3
ประชาธรรม,ประดิษฐ์มนูธรรม,6,3,3
ประชานิเวศน์,ประชาชื่น,9,3,3
ประชานิเวศน์,เทศบาลสงเคราะห์,9,3,3
ประชาสงเคราะห์,ดินแดง,6,3,6
ประชาสงเคราะห์,ประชาสงเคราะห์,6,3,6
ประชาอุทิศ,ประชาอุทิศ,9,6,12
ประชาอุทิศ,สุขสวัสดิ์,3,3,6
ประชาอุทิศ,เทียมร่วมมิตร,3,3,6
ประชาเกษม,กรุงเกษม,3,3,6
ประชาเกษม,นครราชสีมา,3,3,6
ประชาเกษม,ประชาธิปไตย,3,3,6
ประดิพัทธ์,ประดิพัทธ์,3,12,6
ประดิพัทธ์,พระรามที่ 6,3,6,6
ประตูน้ำ,ราชดำริ,3,3,12
ประตูน้ำ,ราชปรารภ,3,3,12
ประตูน้ำ,เพชรบุรี,3,3,12
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,6,3,6
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประเสริฐมนูกิจ,6,3,6
ประเสริฐมนูกิจ - ลาดปลาเค้า,ประเสริฐมนูกิจ,3,3,3
ประเสริฐมนูกิจ - ลาดปลาเค้า,ลาดปลาเค้า,3,3,3
ปากทางลาดพร้าว,พหลโยธิน,3,3,3
ปากทางลาดพร้าว,ลาดพร้าว,3,3,3
ป้อมมหากาฬ,พระสุเมรุ,3,3,3
ป้อมมหากาฬ,มหาไชย,3,3,3
ป้อมมหากาฬ,ราชดำเนินกลาง,3,3,3
ผังเมือง,พระราม 9,3,3,3
ผังเมือง,วัฒนธรรม,3,3,6
พงษ์พระราม,จารุเมือง,3,3,6
พงษ์พระราม,พระรามที่ 1,3,3,6
พงษ์เพชร,งามวงศ์วาน,6,3,6
พงษ์เพชร,ประชาชื่น,6,3,6
พญาไท,พญาไท,3,3,9
พญาไท,ศรีอยุธยา,3,3,9
พระราม 9,พระราม 9,6,6,6
พระราม 9,รัชดาภิเษก,6,6,6
พระราม 9,อโศกดินแดง,6,6,6
พระราม 9 ใหม่,เพชรพระราม,3,3,3
พระรามที่ 4,พระรามที่ 4,6,1,6
พระรามที่ 4,รัชดาภิเษก,6,3,6
พระโขนง,สุขุมวิท,6,3,12
พรานนก,พรานนก,3,8,6
พรานนก,อิสรภาพ,3,6,6
พหลโยธิน - เทพรักษ์,พหลโยธิน,3,3,6
พหลโยธิน - เทพรักษ์,เทพรักษ์,3,3,6
พัฒนาการ,พัฒนาการ,6,3,6
พัฒนาการ,ศรีนครินทร์,6,3,6
พิบูลสงคราม,ประชาราษฎร์สาย 1,3,3,3
พิบูลสงคราม,พิบูลสงคราม,3,3,3
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,6,3,6
พุทธมณฑลสาย 2,เพชรเกษม,6,3,6
พุทธมณฑลสาย 3,พุทธมณฑลสาย 3,6,3,3
พุทธมณฑลสาย 3,เพชรเกษม,6,3,3
มิตรสัมพันธ์,นิคมมักกะสัน,3,6,3
มิตรสัมพันธ์,เพชรบุรี,3,6,6
มิตรไมตรี - มิตรไมตรี 1,มิตรไมตรี,15,3,3
มิตรไมตรี - มิตรไมตรี 1,มิตรไมตรี 1,15,3,3
มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี,18,12,9
มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี 2,18,12,9
มไหสวรรย์,มไหสวรรย์,6,3,9
มไหสวรรย์,รัชดาภิเษก,6,3,6
ยุคล 2,ยุคล 2,3,3,3
รัชดา - ลาดพร้าว,รัชดาภิเษก,3,3,9
รัชโยธิน,พหลโยธิน,3,3,6
ราชดำริ,ราชดำริ,6,3,6
ราชดำริ,สารสิน,6,3,6
ราชประสงค์,พระรามที่ 1,6,3,12
ราชประสงค์,ราชดำริ,6,3,12
ราชประสงค์,เพลินจิต,6,3,12
ราชวงศ์,ราชวงศ์,3,6,3
ราชวงศ์,เยาวราช,3,6,3
ราชวัตร,นครไชยศรี,6,3,3
ราชวัตร,พระรามที่ 5,6,3,3
ราชวิถี,พระรามที่ 5,3,3,9
ราชวิถี,ราชวิถี,3,3,9
ราชเทวี,พญาไท,3,3,9
ราชเทวี,เพชรบุรี,3,3,9
รามคำแหง,พระราม 9,3,3,6
รามคำแหง,รามคำแหง,3,3,6
ราษฎร์บูรณะ,ราษฎร์บูรณะ,3,3,6
ราษฎร์บูรณะ,ราษฎร์พัฒนา,3,3,3
ลาซาล,สุขุมวิท,6,3,6
ลาดบัวขาว,รามคำแหง,3,3,3
ลาดปลาเค้า,รามอินทรา,3,3,9
ลาดปลาเค้า,ลาดปลาเค้า,6,3,9
วงศ์สว่าง,รัชดาภิเษก,6,6,3
วงศ์สว่าง,วงศ์สว่าง,6,6,3
วงเวียนหลักสี่,พหลโยธิน,3,3,3
วงเวียนหลักสี่,รามอินทรา,3,3,3
วงเวียนหลักสี่,แจ้งวัฒนะ,3,3,3
วงเวียนใหญ่,ประชาธิปก,3,3,6
วงเวียนใหญ่,อินทรพิทักษ์,3,3,6
วังหิน,สุขาภิบาล 1,3,3,3
วังหิน,เสนานิคม,3,3,3
วังแดง,พิษณุโลก,3,6,6
วังแดง,ราชสีมา,3,6,3
วัดดวงแข,จารุเมือง,3,3,3
วัดดวงแข,เจริญเมือง,3,3,3
วัดประชา,พระรามที่ 5,6,3,3
วัดสน,สุขสวัสดิ์,9,3,9
วัดสะพานสูง,พระรามที่ 6,6,3,3
วัดสะพานสูง,เตชะวณิช,6,3,3
วัดเทพลีลา,รามคำแหง,3,3,6
วิทยุ,พระรามที่ 4,6,3,6
วิทยุ,วิทยุ,6,3,6
วิทยุ,สาทร,6,3,6
วิสุทธิกษัตริย์,ประชาธิปไตย,6,6,6
วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,6,6,6
ศรีย่าน,นครไชยศรี,6,3,6
ศรีย่าน,สามเสน,6,3,6
ศรีอยุธยา,พระรามที่ 6,3,3,6
ศรีอยุธยา,ศรีอยุธยา,3,6,6
ศาลาแดง,พระรามที่ 4,3,3,6
ศาลาแดง,ราชดำริ,3,3,6
ศาลาแดง,สีลม,3,3,6
ศิริราช,พรานนก,3,3,3
สวนรื่นฤดี,สุโขทัย,3,3,3
สะพานขาว,กรุงเกษม,3,3,6
สะพานขาว,หลานหลวง,3,3,6
สะพานควาย,ประดิพัทธ์,3,6,6
สะพานควาย,พหลโยธิน,3,6,6
สะพานควาย,สุทธิสาร,3,6,6
สะพานดำ,กำแพงเพชร,3,3,6
สะพานดำ,กำแพงเพชร 5,3,3,3
สะพานดำ,พระรามที่ 6,3,3,6
สะพานเหลือง,บรรทัดทอง,6,3,3
สะพานเหลือง,พระรามที่ 4,6,3,3
สะพานแดง,ทหาร,6,3,6
สะพานแดง,ประดิพัทธ์,6,3,6
สะพานแดง,พระรามที่ 5,6,3,6
สะพานแดง,เตชะวณิช,6,3,6
สาทร - นราธิวาส,สาทร,3,3,9
สาทร - เจริญกรุง,สาทร,3,3,6
สาทร - เจริญกรุง,เจริญกรุง,3,3,6
สาธุ - จันทน์,จันทน์,6,3,6
สาธุ - จันทน์,สาธุประดิษฐ์,6,3,6
สาธุประดิษฐ์,สาธุประดิษฐ์,6,3,6
สามยอด,มหาไชย,3,6,12
สามยอด,เจริญกรุง,3,6,12
สามเสน,นครไชยศรี,6,6,3
สามเสน,สวรรคโลก,6,6,3
สามเสน,เทอดดำริ,6,6,3
สามเหลี่ยมดินแดง,ดินแดง,3,3,6
สามเหลี่ยมดินแดง,ราชปรารภ,3,3,6
สามเหลี่ยมดินแดง,ราชวิถี,3,3,6
สามแยกบางกะปิ,ลาดพร้าว,3,3,9
สามแยกบางกะปิ,ศรีนครินทร์,3,3,9
สีลม - นราธิวาส,นราธิวาสราชนครินทร์,3,3,3
สีลม - นราธิวาส,สีลม,3,3,6
สี่กั๊กเสาชิงช้า,ตะนาว,3,3,6
สี่กั๊กเสาชิงช้า,บำรุงเมือง,2,3,6
สี่กั๊กเสาชิงช้า,เฟื่องนคร,3,3,6
สี่แยกลาดหญ้า,ท่าดินแดง,3,3,6
สี่แยกลาดหญ้า,อิสรภาพ,3,3,6
สุทธิสาร,รัชดาภิเษก,6,6,3
สุทธิสาร,สุทธิสารวินิจฉัย,6,3,3
สุวินทวงศ์ - ราษฎร์อุทิศ,ราษฎร์อุทิศ,3,3,3
สุวินทวงศ์ - ราษฎร์อุทิศ,สุวินทวงศ์,3,3,3
สุโขทัย,สุโขทัย,6,3,9
หทัยราษฎร์ - เลียบคลองสอง,หทัยราษฎร์,3,6,6
หทัยราษฎร์ - เลียบคลองสอง,เลียบคลองสอง,3,6,6
หมอมี,พระรามที่ 4,6,3,6
หมอมี,เจริญกรุง,6,3,6
หมอเหล็ง,จตุรทิศ,3,3,12
หมอเหล็ง,ราชปรารภ,3,3,12
หมอเหล็ง,ศรีอยุธยา,3,3,12
หมู่บ้านสหกรณ์,ทางเข้าหมู่บ้านสหกรณ์,3,3,3
หมู่บ้านสหกรณ์,เสรีไทย,3,3,6
หมู่บ้านเศรษฐกิจ,เพชรเกษม,6,3,9
หลักสี่,กำแพงเพชร 6,6,6,9
หลักสี่,แจ้งวัฒนะ,6,6,9
หลังสวน,สารสิน,6,3,9
หลังสวน,หลังสวน,6,3,9
หลานหลวง,จักรพรรดิพงษ์,3,3,3
หลานหลวง,หลานหลวง,3,3,3
หัวลำโพง,พระรามที่ 4,6,3,6
หัวลำโพง,มหาพฤฒาราม,3,3,6
ห้วยขวาง,ประชาราษฎร์บำเพ็ญ,6,3,15
ห้วยขวาง,ประชาสงเคราะห์,6,6,12
ห้วยขวาง,รัชดาภิเษก,6,6,15
อ.ส.ม.ท.,พระราม 9,6,3,6
อ.ส.ม.ท.,เพชรอุทัย,6,3,6
อนามัย,พลับพลาไชย,3,3,3
อังรีดูนังต์,สุรวงศ์,3,3,9
อังรีดูนังต์,อังรีดูนังต์,3,3,9
อุณากรรณ,อุณากรรณ,6,3,3
อุณากรรณ,เจริญกรุง,6,3,3
อุดมสุข,สุขุมวิท,6,3,6
อุรุพงษ์,พระรามที่ 6,3,3,9
อุรุพงษ์,เพชรบุรี,3,3,9
อโศกเพชร,อโศก,3,3,6
อโศกเพชร,เพชรบุรี,3,3,6
เกษตร,งามวงศ์วาน,3,3,6
เกษตร,พหลโยธิน,3,3,6
เกษมราษฎร์,พระรามที่ 4,6,3,12
เกษมราษฎร์,เกษมราษฎร์,6,3,12
เกษะโกมล,พระรามที่ 5,6,3,6
เกษะโกมล,อำนวยสงคราม,6,3,6
เกษะโกมล,เศรษฐศิริ,6,3,6
เกียกกาย,ทหาร,3,6,6
เกียกกาย,ประชาราษฎร์สาย 1,3,6,6
เกียกกาย,สามเสน,3,6,6
เจริญนครใต้,กรุงธนบุรี,6,3,3
เจริญนครใต้,เจริญนคร,6,3,3
เจริญผล,บรรทัดทอง,3,6,3
เจริญผล,พระรามที่ 1,3,6,3
เจริญราษฎร์,เจริญราษฎร์,6,3,12
เจ้าคุณทหาร - ฉลองกรุง,ฉลองกรุง,3,3,6
เจ้าคุณทหาร - ฉลองกรุง,เจ้าคุณทหาร,3,3,6
เฉลิมกรุง,ตรีเพชร,3,3,6
เฉลิมกรุง,เจริญกรุง,3,3,9
เฉลิมเผ่า,พระรามที่ 1,6,3,3
เฉลิมเผ่า,อังรีดูนังต์,6,3,6
เดโช,สีลม,3,6,3
เดโช,เดโช,3,6,3
เตาปูน,ประชาราษฎร์,6,3,6
เตาปูน,ประชาราษฎร์สาย 2,6,6,6
เทวกรรม,กรุงเกษม,6,3,3
เทวกรรม,นครสวรรค์,6,3,3
เทอดดำริ,ประดิพัทธ์,3,3,6
เทอดดำริ,เทอดดำริ,3,3,6
เทียมร่วมมิตร,รัชดาภิเษก,6,3,3
เทียมร่วมมิตร,เทียมร่วมมิตร,6,3,6
เทเวศร์,กรุงเกษม,3,3,6
เทเวศร์,สามเสน,3,3,6
เพชรพระราม,บรรทัดทอง,3,3,6
เพชรพระราม,เพชรบุรี,3,3,6
เพชรเกษม - ราชพฤกษ์,ราชพฤกษ์,3,3,3
เพชรเกษม - ราชพฤกษ์,เพชรเกษม,3,3,3
เพชรเกษม 69,เพชรเกษม,3,6,9
เพชรเกษม 81,เพชรเกษม,3,3,9
เพลินจิต,วิทยุ,6,3,9
เพลินจิต,เพลินจิต,6,3,9
เศรษฐศิริ,เทอดดำริ,3,3,3
เศรษฐศิริ,เศรษฐศิริ,3,6,3
เสาวณี,ศรีอยุธยา,3,3,3
เสาวณี,สวรรคโลก,3,3,3
เสือป่า,ราชวงศ์,3,3,3
เสือป่า,เจริญกรุง,3,3,3
เสือป่า,เสือป่า,3,3,6
เอกมัยใต้,สุขุมวิท,3,3,6
เอส เอ บี,วรจักร,3,3,6
เอส เอ บี,เจริญกรุง,3,3,6
แบริ่ง,สุขุมวิท,3,3,3
แปลงนาม,พลับพลาไชย,6,3,6
แปลงนาม,เจริญกรุง,6,3,6
แปลงนาม,แปลงนาม,6,3,9
โพธิ์สามต้น,วังเดิม,3,6,6
โพธิ์สามต้น,อิสรภาพ,3,6,6
โพธิ์แก้ว,ทางเข้าวัดบางเตย,6,3,6
โพธิ์แก้ว,นวมินทร์,6,3,6
โพธิ์แก้ว,โพธิ์แก้ว,6,3,6
โรงพยาบาลกลาง,หลวง,6,3,3
โรงพยาบาลกลาง,เสือป่า,6,3,3
ใต้ด่วนพระราม 4,ทางด่วน,3,3,3
ใต้ด่วนพระราม 4,พระรามที่ 4,3,3,9
ใต้ด่วนพระราม 4,เชื้อเพลิง,3,3,9
ไฟฉาย,จรัญสนิทวงศ์,3,6,9
ไฟฉาย,พรานนก,3,6,9
