intersection,road,intersection_key,road_key
อ่อนนุช 86(ทางเข้าโรงขยะอ่อนช),อ่อนนุช,อ่อนนุช 86(ทางเข้าโรงขยะอ่อนช),อ่อนนุช
YMCA,ศาลาแดง,YMCA,ศาลาแดง
YMCA,สาทร,YMCA,สาทร
เกษมราษฎร์,เกษมราษฎร์,เกษมราษฎร์,เกษมราษฎร์
เกษมราษฎร์,ซ.อารีย์,เกษมราษฎร์,ซ.อารีย์
เกษมราษฎร์,พระรามที่ 4,เกษมราษฎร์,พระรามที่ 4
หัวลำโพง,มหาพฤฒาราม,หัวลำโพง,มหาพฤฒาราม
หัวลำโพง,พระรามที่ 4,หัวลำโพง,พระรามที่ 4
อุณากรรณ,อุณากรรณ,อุณากรรณ,อุณากรรณ
อุณากรรณ,เจริญกรุง,อุณากรรณ,เจริญกรุง
โพธิสามต้น,อิสรภาพ,โพธิสามต้น,อิสรภาพ
โพธิสามต้น,วังเดิม,โพธิสามต้น,วังเดิม
บุคคโล,เจริญนคร,บุคคโล,เจริญนคร
บุคคโล,มไหสวรรย์,บุคคโล,มไหสวรรย์
นวมินทร์ - แฮปปีแลนด์,นวมินทร์,นวมินทร์ - แฮปปีแลนด์,นวมินทร์
นวมินทร์ - แฮปปีแลนด์,แฮปปี้แลนด์,นวมินทร์ - แฮปปีแลนด์,แฮปปี้แลนด์
กษัตริย์ศึก,กรุงเกษม,กษัตริย์ศึก,กรุงเกษม
กษัตริย์ศึก,บำรุงเมือง,กษัตริย์ศึก,บำรุงเมือง
ทางช้ามปากซอยตากสิน 17 - 18,สมเด็จพระเจ้าตากสิน,ทางช้ามปากซอยตากสิน 17 - 18,สมเด็จพระเจ้าตากสิน
สุทธิสาร,รัชดาภิเษก,สุทธิสาร,รัชดาภิเษก
สุทธิสาร,สุทธิสารวินิจฉัย,สุทธิสาร,สุทธิสารวินิจฉัย
รัชดาภิเษก - ลาดพร้าว,รัชดาภิเษก,รัชดาภิเษก - ลาดพร้าว,รัชดาภิเษก
รัชดาภิเษก - ลาดพร้าว,ลาดพร้าว,รัชดาภิเษก - ลาดพร้าว,ลาดพร้าว
ประชานิเวศน์,ประชาชื่น,ประชานิเวศน์,ประชาชื่น
ประชานิเวศน์,เทศบาลสงเคราะห์,ประชานิเวศน์,เทศบาลสงเคราะห์
สวรรคโลก,สวรรคโลก,สวรรคโลก,สวรรคโลก
สวรรคโลก,สุโขทัย,สวรรคโลก,สุโขทัย
สุคันธาราม,พระรามที่ 5,สุคันธาราม,พระรามที่ 5
สุคันธาราม,สุคันธาราม,สุคันธาราม,สุคันธาราม
ถนนตก,เจริญกรุง,ถนนตก,เจริญกรุง
ถนนตก,พระรามที่ 3,ถนนตก,พระรามที่ 3
ทางข้ามหน้าชุมชนน้องใหม่,อาจณรงค์,ทางข้ามหน้าชุมชนน้องใหม่,อาจณรงค์
มหาวิทยาลัยกรุงเทพ,ซ.มหาวิทยาลัยกรุงเทพ,มหาวิทยาลัยกรุงเทพ,ซ.มหาวิทยาลัยกรุงเทพ
มหาวิทยาลัยกรุงเทพ,พระรามที่ 4,มหาวิทยาลัยกรุงเทพ,พระรามที่ 4
มหาวิทยาลัยกรุงเทพ,ซ.บ้านกล้วยใต้ (สุขุมวิท42),มหาวิทยาลัยกรุงเทพ,ซ.บ้านกล้วยใต้ (สุขุมวิท42)
ทางข้ามหน้าเมเจอร์อเวนิว และธนาคารไทยพาณิชย์,สุโขทัย,ทางข้ามหน้าเมเจอร์อเวนิว และธนาคารไทยพาณิชย์,สุโขทัย
ทางข้ามปากซอยอ่อนนุช 65,อ่อนนุช,ทางข้ามปากซอยอ่อนนุช 65,อ่อนนุช
ประเวศ,เฉลิมพระเกียรติ,ประเวศ,เฉลิมพระเกียรติ
ประเวศ,อ่อนนุช,ประเวศ,อ่อนนุช
บางขุนพรหม,สามเสน,บางขุนพรหม,สามเสน
บางขุนพรหม,วิสุทธิกษัตริย์,บางขุนพรหม,วิสุทธิกษัตริย์
สวนรื่นฤดี,ราชสีมา,สวนรื่นฤดี,ราชสีมา
สวนรื่นฤดี,สุโขทัย,สวนรื่นฤดี,สุโขทัย
ก.ม. 8,นวมินทร์,ก.ม. 8,นวมินทร์
ก.ม. 8,ซ.รามอินทรา 73,ก.ม. 8,ซ.รามอินทรา 73
ก.ม. 8,รามอินทรา,ก.ม. 8,รามอินทรา
พัฒนาการ,ศรีนครินทร์,พัฒนาการ,ศรีนครินทร์
พัฒนาการ,พัฒนาการ,พัฒนาการ,พัฒนาการ
วัดประชา,พระรามที่ 5,วัดประชา,พระรามที่ 5
วัดประชา,วัดประชาระบือธรรม,วัดประชา,วัดประชาระบือธรรม
วัดประชา,ซ. ระนอง 1,วัดประชา,ซ. ระนอง 1
คลองตัน,สุขุมวิท 71,คลองตัน,สุขุมวิท 71
คลองตัน,รามคำแหง,คลองตัน,รามคำแหง
คลองตัน,เพชรบุรี,คลองตัน,เพชรบุรี
คลองตัน,พัฒนาการ,คลองตัน,พัฒนาการ
ไต้ด่วนดินแดง,เลียบใต้ทางด่วน,ไต้ด่วนดินแดง,เลียบใต้ทางด่วน
ไต้ด่วนดินแดง,วิภาวดีรังสิต,ไต้ด่วนดินแดง,วิภาวดีรังสิต
ไต้ด่วนดินแดง,อโศกดินแดง,ไต้ด่วนดินแดง,อโศกดินแดง
ทางข้ามหน้าเซนทรัลเฟสติวัลอีวิลล์,ประดิษฐ์มนูธรรม,ทางข้ามหน้าเซนทรัลเฟสติวัลอีวิลล์,ประดิษฐ์มนูธรรม
ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม
ประดิษฐ์มนูธรรม,สังคมสงเคราะห์,ประดิษฐ์มนูธรรม,สังคมสงเคราะห์
ราชดำริ,ราชดำริ,ราชดำริ,ราชดำริ
ราชดำริ,สารสิน,ราชดำริ,สารสิน
กรมศุลกากร,เกษมราษฎร์,กรมศุลกากร,เกษมราษฎร์
กรมศุลกากร,สุนทรโกษา,กรมศุลกากร,สุนทรโกษา
กรมศุลกากร,อาจณรงค์,กรมศุลกากร,อาจณรงค์
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,ดาวคะนอง,สมเด็จพระเจ้าตากสิน
ดาวคะนอง,จอมทอง,ดาวคะนอง,จอมทอง
ปากซอยสมเด็จพระเจ้าตากสิน 15,สมเด็จพระเจ้าตากสิน,ปากซอยสมเด็จพระเจ้าตากสิน 15,สมเด็จพระเจ้าตากสิน
เพชรบุรี- ชิดลม,เพชรบุรี,เพชรบุรี- ชิดลม,เพชรบุรี
ทางข้ามบริเวณหน้าตึกอรกานต์,ชิดลม,ทางข้ามบริเวณหน้าตึกอรกานต์,ชิดลม
ปากซอยวัดเพลง,พรานนก - พุทธมณฑลสาย 4,ปากซอยวัดเพลง,พรานนก - พุทธมณฑลสาย 4
ทางข้ามปากซอยวัดเทพพล,พรานนก - พุทธมณฑลสาย 4,ทางข้ามปากซอยวัดเทพพล,พรานนก - พุทธมณฑลสาย 4
ปากซอยวัดปากน้า -วัดแก้ว,พรานนก - พุทธมณฑลสาย 4,ปากซอยวัดปากน้า -วัดแก้ว,พรานนก - พุทธมณฑลสาย 4
ทางขึ้นทางด่วนจตุรโชติ,เลียบทางด่วน,ทางขึ้นทางด่วนจตุรโชติ,เลียบทางด่วน
ทางขึ้นทางด่วนจตุรโชติ,เลียบด่วนอาจณรงค์ รามอินทรา,ทางขึ้นทางด่วนจตุรโชติ,เลียบด่วนอาจณรงค์ รามอินทรา
ทางลงทางด่วนจตุรโชติ,เลียบด่วน,ทางลงทางด่วนจตุรโชติ,เลียบด่วน
ทางลงทางด่วนจตุรโชติ,ทางลงทางด่วน,ทางลงทางด่วนจตุรโชติ,ทางลงทางด่วน
นราธิวาส -สุรวงศ์,นราธิวาส,นราธิวาส -สุรวงศ์,นราธิวาส
นราธิวาส -สุรวงศ์,สุรวงศ์,นราธิวาส -สุรวงศ์,สุรวงศ์
เจริญราษฎร์,เจริญราษฎร์,เจริญราษฎร์,เจริญราษฎร์
เจริญราษฎร์,พระรามที่ 3,เจริญราษฎร์,พระรามที่ 3
คลองสาน,เจริญนคร,คลองสาน,เจริญนคร
คลองสาน,สมเด็จเจ้าพระยา,คลองสาน,สมเด็จเจ้าพระยา
คลองสาน,ลาดหญ้า,คลองสาน,ลาดหญ้า
สีลม - นราธิวาส,นราธิวาสราชนครินทร์,สีลม - นราธิวาส,นราธิวาสราชนครินทร์
สีลม - นราธิวาส,สีลม,สีลม - นราธิวาส,สีลม
อำนวยสงคราม - ร่วมจิตต์,ร่วมจิตต์,อำนวยสงคราม - ร่วมจิตต์,ร่วมจิตต์
อำนวยสงคราม - ร่วมจิตต์,อำนวยสงคราม,อำนวยสงคราม - ร่วมจิตต์,อำนวยสงคราม
ทางข้ามหน้าโรงเรียนประชาบำรุง,เลียบคลองภาษีเจริญฝั่งเหนือ,ทางข้ามหน้าโรงเรียนประชาบำรุง,เลียบคลองภาษีเจริญฝั่งเหนือ
หน้าศูนย์สาธารณสุข 48,เลียบคลองภาษีเจริญฝั่งเหนือ,หน้าศูนย์สาธารณสุข 48,เลียบคลองภาษีเจริญฝั่งเหนือ
อินทาบัจ 13 - เพชรเกษม 63,ซอยเพชรเกษม 63,อินทาบัจ 13 - เพชรเกษม 63,ซอยเพชรเกษม 63
อินทาบัจ 13 - เพชรเกษม 63,ซอยอินทาปัจ 13,อินทาบัจ 13 - เพชรเกษม 63,ซอยอินทาปัจ 13
ข้ามหน้าโรงเรียนมัธยมวัดบึงทองห,ลาดพร้าว 101,ข้ามหน้าโรงเรียนมัธยมวัดบึงทองห,ลาดพร้าว 101
ลาดพร้าว 101,ซอยลาดพร้าว 128/1,ลาดพร้าว 101,ซอยลาดพร้าว 128/1
ลาดพร้าว 101,ซอยลาดพร้าว 101,ลาดพร้าว 101,ซอยลาดพร้าว 101
ลาดพร้าว 101,ลาดพร้าว,ลาดพร้าว 101,ลาดพร้าว
ทางข้ามหน้าโรงเรียนวังเด็ก,สุขุมวิท 77,ทางข้ามหน้าโรงเรียนวังเด็ก,สุขุมวิท 77
โรงพยาบาลสิรินธร,สุขาภิบาล 2,โรงพยาบาลสิรินธร,สุขาภิบาล 2
โรงพยาบาลสิรินธร,อ่อนนุช,โรงพยาบาลสิรินธร,อ่อนนุช
สุโขทัย,พระรามที่ 5,สุโขทัย,พระรามที่ 5
สุโขทัย,สุโขทัย,สุโขทัย,สุโขทัย
เทียมร่วมมิตร,รัชดาภิเษก,เทียมร่วมมิตร,รัชดาภิเษก
เทียมร่วมมิตร,เทียมร่วมมิตร,เทียมร่วมมิตร,เทียมร่วมมิตร
นวลจันทร์,ซอยรามอินทรา 40,นวลจันทร์,ซอยรามอินทรา 40
นวลจันทร์,รามอินทรา,นวลจันทร์,รามอินทรา
เฉลิมพระเกียรติ ร.9 ซ.65,เฉลิมพระเกียรติ ร.9,เฉลิมพระเกียรติ ร.9 ซ.65,เฉลิมพระเกียรติ ร.9
พัฒนาการ - ซอยพัฒนาการ 53,ซอยพัฒนาการ 53,พัฒนาการ - ซอยพัฒนาการ 53,ซอยพัฒนาการ 53
พัฒนาการ - ซอยพัฒนาการ 53,พัฒนาการ,พัฒนาการ - ซอยพัฒนาการ 53,พัฒนาการ
บางยี่เรือ,เทอดไท,บางยี่เรือ,เทอดไท
บางยี่เรือ,เพชรเกษม,บางยี่เรือ,เพชรเกษม
บางยี่เรือ,อินทรพิทักษ์,บางยี่เรือ,อินทรพิทักษ์
สามเหลี่ยมดินแดง,ราชปรารภ,สามเหลี่ยมดินแดง,ราชปรารภ
สามเหลี่ยมดินแดง,ซ.อรรถวิมล,สามเหลี่ยมดินแดง,ซ.อรรถวิมล
สามเหลี่ยมดินแดง,ราชวิถี,สามเหลี่ยมดินแดง,ราชวิถี
สามเหลี่ยมดินแดง,ดินแดง,สามเหลี่ยมดินแดง,ดินแดง
ทางข้ามหน้าธนาคารกรุงศรีฯ สาขาจอมทอง,เอกชัย,ทางข้ามหน้าธนาคารกรุงศรีฯ สาขาจอมทอง,เอกชัย
โรงพยาบาลกลาง,เสือป่า,โรงพยาบาลกลาง,เสือป่า
โรงพยาบาลกลาง,ยุคล 2,โรงพยาบาลกลาง,ยุคล 2
โรงพยาบาลกลาง,หลวง,โรงพยาบาลกลาง,หลวง
ทางข้ามบริเวณซอยอุดมสุข 37,อุดมสุข,ทางข้ามบริเวณซอยอุดมสุข 37,อุดมสุข
ทางข้ามหน้าสถานีโทรทัศน์กองทัพบก ช่อง 5,พหลโยธิน,ทางข้ามหน้าสถานีโทรทัศน์กองทัพบก ช่อง 5,พหลโยธิน
วิสุทธิกษัตริย์,ประชาธิปไตย,วิสุทธิกษัตริย์,ประชาธิปไตย
วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์
สาธุประดิษฐ์,สาธุประดิษฐ์,สาธุประดิษฐ์,สาธุประดิษฐ์
สาธุประดิษฐ์,พระรามที่ 3,สาธุประดิษฐ์,พระรามที่ 3
ศิครินทร์,ศิครินทร์,ศิครินทร์,ศิครินทร์
ศิครินทร์,สุขุมวิท 105,ศิครินทร์,สุขุมวิท 105
เจริญนครเหนือ,เจริญนครเหนือ,เจริญนครเหนือ,เจริญนครเหนือ
เจริญนครเหนือ,กรุงธนบุรี,เจริญนครเหนือ,กรุงธนบุรี
แม้นศรี,วรจักร,แม้นศรี,วรจักร
แม้นศรี,จักพรรดิพงษ์,แม้นศรี,จักพรรดิพงษ์
แม้นศรี,บำรุงเมือง,แม้นศรี,บำรุงเมือง
พุทธมณฑลสาย 2,ซ.เพชรเกษม 55,พุทธมณฑลสาย 2,ซ.เพชรเกษม 55
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,พุทธมณฑลสาย 2
พุทธมณฑลสาย 2,เพชรเกษม,พุทธมณฑลสาย 2,เพชรเกษม
รัชดา - ราชพฤกษ์,รัชดาภิเษก,รัชดา - ราชพฤกษ์,รัชดาภิเษก
รัชดา - ราชพฤกษ์,ราชพฤกษ์,รัชดา - ราชพฤกษ์,ราชพฤกษ์
ท่าดินแดง,ท่าดินแดง,ท่าดินแดง,ท่าดินแดง
ท่าดินแดง,สมเด็จเจ้าพระยา,ท่าดินแดง,สมเด็จเจ้าพระยา
สุทธิสาร -วิภาวดีรังสิต,วิภาวดีรังสิต,สุทธิสาร -วิภาวดีรังสิต,วิภาวดีรังสิต
สุทธิสาร -วิภาวดีรังสิต,สุทธิสาร,สุทธิสาร -วิภาวดีรังสิต,สุทธิสาร
ลำสาลี,ศรีนครินทร์,ลำสาลี,ศรีนครินทร์
ลำสาลี,รามคำแหง,ลำสาลี,รามคำแหง
หลักสี่,กำแพงเพชร 6,หลักสี่,กำแพงเพชร 6
หลักสี่,แจ้งวัฒนะ,หลักสี่,แจ้งวัฒนะ
ประชาเกษม,ประชาธิปไตย,ประชาเกษม,ประชาธิปไตย
ประชาเกษม,นครราชสีมา,ประชาเกษม,นครราชสีมา
ประชาเกษม,กรุงเกษม,ประชาเกษม,กรุงเกษม
ทางข้ามหน้าปากซอยนามบัญญัติ,ประชาธิปไตย,ทางข้ามหน้าปากซอยนามบัญญัติ,ประชาธิปไตย
เกตุนุช,ซ.ลาดพร้าว 64,เกตุนุช,ซ.ลาดพร้าว 64
เกตุนุช,ลาดพร้าว,เกตุนุช,ลาดพร้าว
ปทุมวัน,พญาไท,ปทุมวัน,พญาไท
ปทุมวัน,พระรามที่ 1,ปทุมวัน,พระรามที่ 1
ประชาราษฎร์สาย 1,ประชาราษฎร์สาย 1,ประชาราษฎร์สาย 1,ประชาราษฎร์สาย 1
ประชาราษฎร์สาย 1,วงศ์สว่าง,ประชาราษฎร์สาย 1,วงศ์สว่าง
บางแวก - เพชรเกษม 48 (บางแวก 69),ซ.เพชรเกษม 48 (บางแวก 69),บางแวก - เพชรเกษม 48 (บางแวก 69),ซ.เพชรเกษม 48 (บางแวก 69)
บางแวก - เพชรเกษม 48 (บางแวก 69),บางแวก,บางแวก - เพชรเกษม 48 (บางแวก 69),บางแวก
สะพานอ่อน,บรรทัดทอง,สะพานอ่อน,บรรทัดทอง
สะพานอ่อน,เจริญเมือง,สะพานอ่อน,เจริญเมือง
บางพลัด,จรัญสนิทวงศ์,บางพลัด,จรัญสนิทวงศ์
บางพลัด,สิรินธร,บางพลัด,สิรินธร
บางพลัด,ราชวิถี,บางพลัด,ราชวิถี
ท่าพระ,รัชดาภิเษก,ท่าพระ,รัชดาภิเษก
ท่าพระ,จรัญสนิทวงศ์,ท่าพระ,จรัญสนิทวงศ์
ท่าพระ,เพชรเกษม,ท่าพระ,เพชรเกษม
ประชาอุทิศ,ประชาอุทิศ,ประชาอุทิศ,ประชาอุทิศ
ประชาอุทิศ,สุขสวัสดิ์,ประชาอุทิศ,สุขสวัสดิ์
วัชดาภิเษก 32 -รัชดาภิเษก 36,ซ.รัชดาภิเษก 36,วัชดาภิเษก 32 -รัชดาภิเษก 36,ซ.รัชดาภิเษก 36
วัชดาภิเษก 32 -รัชดาภิเษก 36,ซ.รัชดาภิเษก 32 แยก 3 แยก 19,วัชดาภิเษก 32 -รัชดาภิเษก 36,ซ.รัชดาภิเษก 32 แยก 3 แยก 19
หมอมี,พระรามที่ 4,หมอมี,พระรามที่ 4
หมอมี,เจริญกรุง,หมอมี,เจริญกรุง
หมอมี,มิตรพันธ์,หมอมี,มิตรพันธ์
ทางข้ามหน้าโรงเรียนสายปัญญา,กรุงเกษม,ทางข้ามหน้าโรงเรียนสายปัญญา,กรุงเกษม
ทางข้ามถนนเลียบคลองผดุงกรุงเกษม,เลียบคลองผดุงกรุงเกษม,ทางข้ามถนนเลียบคลองผดุงกรุงเกษม,เลียบคลองผดุงกรุงเกษม
สาธุ - จันทน์,สาธุประดิษฐ์,สาธุ - จันทน์,สาธุประดิษฐ์
สาธุ - จันทน์,จันทน์,สาธุ - จันทน์,จันทน์
หมู่บ้านสหกรณ์,ทางเข้าหมู่บ้านสหกรณ์ ,หมู่บ้านสหกรณ์,ทางเข้าหมู่บ้านสหกรณ์
หมู่บ้านสหกรณ์,เสรีไทย,หมู่บ้านสหกรณ์,เสรีไทย
เจริญนครใต้,เจริญนคร,เจริญนครใต้,เจริญนคร
เจริญนครใต้,กรุงธนบุรี,เจริญนครใต้,กรุงธนบุรี
สาธุประดิษฐ์- ยานนาวา,สาธุประดิษฐ์,สาธุประดิษฐ์- ยานนาวา,สาธุประดิษฐ์
สาธุประดิษฐ์- ยานนาวา,ยานนาวาว,สาธุประดิษฐ์- ยานนาวา,ยานนาวาว
ทางข้ามปากซอยอ่อนนุช 74/3 ,อ่อนนุช,ทางข้ามปากซอยอ่อนนุช 74/3,อ่อนนุช
สุขาภิบาล 2 - คู่ขนานวงแหวนกาญจนาภิเษก,สุขาภิบาล 2,สุขาภิบาล 2 - คู่ขนานวงแหวนกาญจนาภิเษก,สุขาภิบาล 2
สุขาภิบาล 2 - คู่ขนานวงแหวนกาญจนาภิเษก,วงแหวนกาญจนาภิเษก,สุขาภิบาล 2 - คู่ขนานวงแหวนกาญจนาภิเษก,วงแหวนกาญจนาภิเษก
ทางข้ามหน้าโรงเรียนวัดมหรรณพาราม,ตะนาว,ทางข้ามหน้าโรงเรียนวัดมหรรณพาราม,ตะนาว
อนุสาวสรีย์ประชาธิปไตย (ขาเข้า),ดินสอ,อนุสาวสรีย์ประชาธิปไตย (ขาเข้า),ดินสอ
อนุสาวสรีย์ประชาธิปไตย (ขาเข้า),ราชดำเนินกลาง,อนุสาวสรีย์ประชาธิปไตย (ขาเข้า),ราชดำเนินกลาง
อนุสาวสรีย์ประชาธิปไตย (ขาออก),ดินสอ,อนุสาวสรีย์ประชาธิปไตย (ขาออก),ดินสอ
อนุสาวสรีย์ประชาธิปไตย (ขาออก),ราชดำเนินกลาง,อนุสาวสรีย์ประชาธิปไตย (ขาออก),ราชดำเนินกลาง
เฉลิมเผ่า,อังรีดูนังต์,เฉลิมเผ่า,อังรีดูนังต์
เฉลิมเผ่า,พระรามที่ 1,เฉลิมเผ่า,พระรามที่ 1
ชิดลม,ซ.ชิดลม,ชิดลม,ซ.ชิดลม
ชิดลม,เพลินจิต,ชิดลม,เพลินจิต
ประตูน้ำ,ราชดำริ,ประตูน้ำ,ราชดำริ
ประตูน้ำ,ราชปรารภ,ประตูน้ำ,ราชปรารภ
ประตูน้ำ,เพชรบุรี,ประตูน้ำ,เพชรบุรี
มัยลาภ,ซ.รามอยินทรา 14 (ซ.มัยลาภ ),มัยลาภ,ซ.รามอยินทรา 14 (ซ.มัยลาภ )
มัยลาภ,รามอินทรา,มัยลาภ,รามอินทรา
ตากสิน,สมเด็จพระเจ้าตากสิน,ตากสิน,สมเด็จพระเจ้าตากสิน
ตากสิน,ราชพฤกษ์,ตากสิน,ราชพฤกษ์
ตากสิน,กรุงธนบุรี,ตากสิน,กรุงธนบุรี
โพธิ์แก้ว,นวมินทร์,โพธิ์แก้ว,นวมินทร์
โพธิ์แก้ว,โพธิ์แก้ว,โพธิ์แก้ว,โพธิ์แก้ว
โพธิ์แก้ว,ทางเข้าวัดบางเตย,โพธิ์แก้ว,ทางเข้าวัดบางเตย
ปากซอยลาดกระบัง 1,ซ.ลาดกระบัง 1,ปากซอยลาดกระบัง 1,ซ.ลาดกระบัง 1
ปากซอยลาดกระบัง 1,ลาดกระบัง,ปากซอยลาดกระบัง 1,ลาดกระบัง
จุดกลับรถหน้าโชว์รูมฟอรด์ใกล้ชอยลาดกระบัง1/5,ลาดกระบัง,จุดกลับรถหน้าโชว์รูมฟอรด์ใกล้ชอยลาดกระบัง1/5,ลาดกระบัง
มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี,มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี
มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี 2,มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี 2
วงเวียนใหญ่ (ขาเข้า),สมเด็จพระเจ้าตากสิน,วงเวียนใหญ่ (ขาเข้า),สมเด็จพระเจ้าตากสิน
วงเวียนใหญ่ (ขาเข้า),ประชาธิปก,วงเวียนใหญ่ (ขาเข้า),ประชาธิปก
วงเวียนใหญ่ (ขาเข้า),อินทรพิทักษ์,วงเวียนใหญ่ (ขาเข้า),อินทรพิทักษ์
วงเวียนใหญ่ (ขาเข้า),ลาดหญ้า,วงเวียนใหญ่ (ขาเข้า),ลาดหญ้า
วงเวียนใหญ่ (ขาออก),สมเด็จพระเจ้าตากสิน,วงเวียนใหญ่ (ขาออก),สมเด็จพระเจ้าตากสิน
วงเวียนใหญ่ (ขาออก),ประชาธิปก,วงเวียนใหญ่ (ขาออก),ประชาธิปก
วงเวียนใหญ่ (ขาออก),อินทรพิทักษ์,วงเวียนใหญ่ (ขาออก),อินทรพิทักษ์
วงเวียนใหญ่ (ขาออก),ลาดหญ้า,วงเวียนใหญ่ (ขาออก),ลาดหญ้า
มไหสวรรย์,สมเด็จพระเจ้าตากสิน,มไหสวรรย์,สมเด็จพระเจ้าตากสิน
มไหสวรรย์,รัชดาภิเษก,มไหสวรรย์,รัชดาภิเษก
มไหสวรรย์,มไหสวรรย์,มไหสวรรย์,มไหสวรรย์
หทัยราษฎร์ - ซอยไทยรามัญ,หทัยราษฎร์,หทัยราษฎร์ - ซอยไทยรามัญ,หทัยราษฎร์
หทัยราษฎร์ - เลียบคลองสอง,หทัยราษฎร์,หทัยราษฎร์ - เลียบคลองสอง,หทัยราษฎร์
หทัยราษฎร์ - เลียบคลองสอง,เลียบคลองสอง,หทัยราษฎร์ - เลียบคลองสอง,เลียบคลองสอง
เพชรเกษม - เพชรเกษม 4,เพชรเกษม,เพชรเกษม - เพชรเกษม 4,เพชรเกษม
พาณิชยการธนบุรี,จรัญสนิทวงศ์,พาณิชยการธนบุรี,จรัญสนิทวงศ์
พาณิชยการธนบุรี,ซอยจรัญสนิทวงศ์ 13,พาณิชยการธนบุรี,ซอยจรัญสนิทวงศ์ 13
คนข้ามบริเวณหมู่บ้านมณฑล 3,พุทธมณฑลสาย 3,คนข้ามบริเวณหมู่บ้านมณฑล 3,พุทธมณฑลสาย 3
พุทธมณฑลสาย 3,พุทธมณฑลสาย 3,พุทธมณฑลสาย 3,พุทธมณฑลสาย 3
พุทธมณฑลสาย 3,เพชรเกษม,พุทธมณฑลสาย 3,เพชรเกษม
ทางข้ามหน้าโรงเรียนโยธินบูรณะ,ประชาราษฎร์สาย 1,ทางข้ามหน้าโรงเรียนโยธินบูรณะ,ประชาราษฎร์สาย 1
ทางข้ามหน้าโรงเรียนโยธินบูรณะ,ประชาราษฎร์สาย 2,ทางข้ามหน้าโรงเรียนโยธินบูรณะ,ประชาราษฎร์สาย 2
ทางข้ามหน้าโรงเรียนโยธินบูรณะ,ประชาราษฎร์สาย 3,ทางข้ามหน้าโรงเรียนโยธินบูรณะ,ประชาราษฎร์สาย 3
เตาปูน,ประชาราษฎร์,เตาปูน,ประชาราษฎร์
เตาปูน,ประชาราษฎร์สาย 2,เตาปูน,ประชาราษฎร์สาย 2
